Catchment ID,River,Receiving Sea,Continent,Catchment Area [km²], MMPW Generation per capita [kg d-1],Population,MMPW generated in the catchment [tons y-1],Microplastic load Model 1 [tons y-1] ,Microplastic load Model 2 [tons y-1] ,Macroplastic load  [tons y-1] 
429,Kadalundi,Arabian Sea,Asia,1193,0.009,1442040,4613,1,0,1
839,Kamchea,Black Sea,Europe,5342,0.051,244210,4564,1,0,1
1283,Colorado,Gulf of Mexico,North America,106643,0.007,1866607,4553,1,0,1
546,Seraju,Indian,Oceania,435,0.047,264358,4542,1,0,1
658,Lofa,Atlantic,Africa,10450,0.057,217484,4491,1,0,1
1296,Neveri,Caribbean,South America,4264,0.017,706043,4489,1,0,1
1,Tijuana,Pacific,North America,4430,0.012,1066621,4479,1,0,1
1373,Moche,Pacific,South America,2117,0.039,307062,4338,1,0,1
1033,Severn,Irish Sea,Europe,11008,0.004,2747847,4291,1,0,1
72,Papagayo,Pacific,North America,7535,0.012,925914,4143,1,0,1
1199,Duwamish,Puget Sound,North America,1532,0.007,1672570,4079,1,0,1
703,Dande,Atlantic,Africa,11396,0.045,247146,4077,1,0,1
1356,Pindaré,Atlantic,South America,40357,0.017,645842,4076,1,0,1
64,Coatzacoalcos,Gulf of Mexico,North America,21281,0.012,892745,3995,1,0,1
1279,"Neches, Sabine",Gulf of Mexico,North America,54111,0.007,1611452,3930,1,0,1
702,Loge,Atlantic,Africa,13432,0.045,236513,3902,1,0,1
1387,Lurin,Pacific,South America,1577,0.039,273658,3866,1,0,1
436,Muvatupuzha,Arabian Sea,Asia,1802,0.009,1198736,3835,1,0,1
280,Ishikari,Sea of Japan,Asia,14436,0.003,3086366,3833,1,0,1
